         11993 function calls (11872 primitive calls) in 0.125 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      137    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
      512    0.000    0.000    0.000    0.000 {chr}
       21    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       75    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        5    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       16    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
       80    0.000    0.000    0.000    0.000 {range}
       13    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      345    0.000    0.000    0.000    0.000 {globals}
      154    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       66    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 {all}
        6    0.000    0.000    0.000    0.000 core.py:1093(__init__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       85    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      125    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
       31    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 {min}
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
      148    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 polynomial.py:1493(Polynomial)
       46    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
       40    0.000    0.000    0.000    0.000 numerictypes.py:154(english_upper)
       14    0.000    0.000    0.000    0.000 numerictypes.py:181(english_capitalize)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
       26    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
       40    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       46    0.000    0.000    0.000    0.000 {repr}
      116    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       49    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
      102    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
       13    0.000    0.000    0.000    0.000 {_sre.compile}
        9    0.000    0.000    0.000    0.000 core.py:2500(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
       20    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 utils.py:73(__call__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
